account,state,side,ae,xp_new,xp_wip,arr,countable,ncap,capability_data,territory_tier,territory_score,account_whitespace,growth_potential,tier,tier_label
Maine Office of the Governor,ME,State,No State AE shown (ME),Halena Martin,Halena Martin,0.0,False,0,imputed,D,26.9,0.75,0.4614,4,Maintain
Maine Office of Professional and Occupational Regulation,ME,State,No State AE shown (ME),Halena Martin,Halena Martin,0.0,False,0,imputed,D,26.9,0.75,0.4614,4,Maintain
Maine Emergency Management Agency,ME,State,No State AE shown (ME),Halena Martin,Halena Martin,0.0,False,0,imputed,D,26.9,0.75,0.4614,4,Maintain
Maine House Republicans Office,ME,State,No State AE shown (ME),Halena Martin,Halena Martin,0.0,False,0,imputed,D,26.9,0.75,0.4614,4,Maintain
Maine Office of Securities,ME,State,No State AE shown (ME),Halena Martin,Halena Martin,0.0,False,0,imputed,D,26.9,0.75,0.4614,4,Maintain
Maine State Police,ME,State,No State AE shown (ME),Halena Martin,Halena Martin,0.0,False,0,imputed,D,26.9,0.75,0.4614,4,Maintain
Kentucky Communications Network Authority,KY,State,State AE – KY/TN/AR,Carolina Prieto,Marcy Castro,0.0,False,0,imputed,D,34.7,0.75,0.5082,4,Maintain
Kentucky Energy & Environment Cabinet,KY,State,State AE – KY/TN/AR,Carolina Prieto,Marcy Castro,0.0,True,0,imputed,D,34.7,0.75,0.5082,4,Maintain
Kentucky Commission on Military Affairs,KY,State,State AE – KY/TN/AR,Carolina Prieto,Marcy Castro,0.0,False,0,imputed,D,34.7,0.75,0.5082,4,Maintain
Kentucky Council on Postsecondary Education,KY,State,State AE – KY/TN/AR,Carolina Prieto,Marcy Castro,0.0,False,0,imputed,D,34.7,0.75,0.5082,4,Maintain
Kentucky General Government Cabinet,KY,State,State AE – KY/TN/AR,Carolina Prieto,Marcy Castro,0.0,True,0,imputed,D,34.7,0.75,0.5082,4,Maintain
Kentucky Labor Cabinet,KY,State,State AE – KY/TN/AR,Carolina Prieto,Marcy Castro,0.0,False,0,imputed,D,34.7,0.75,0.5082,4,Maintain
Kentucky Office of the State Budget Director,KY,State,State AE – KY/TN/AR,Carolina Prieto,Marcy Castro,0.0,False,0,imputed,D,34.7,0.75,0.5082,4,Maintain
Kentucky Justice and Public Safety Cabinet,KY,State,State AE – KY/TN/AR,Carolina Prieto,Marcy Castro,0.0,True,0,imputed,D,34.7,0.75,0.5082,4,Maintain
Kentucky Fish & Wildlife,KY,State,State AE – KY/TN/AR,Carolina Prieto,Marcy Castro,0.0,False,0,imputed,D,34.7,0.75,0.5082,4,Maintain
Kentucky Public Pensions Authority,KY,State,State AE – KY/TN/AR,Carolina Prieto,Marcy Castro,0.0,True,0,imputed,D,34.7,0.75,0.5082,4,Maintain
Kentucky Portal (Kentucky.gov),KY,State,State AE – KY/TN/AR,Carolina Prieto,Marcy Castro,0.0,True,0,imputed,D,34.7,0.75,0.5082,4,Maintain
Kentucky Personnel Cabinet,KY,State,State AE – KY/TN/AR,Carolina Prieto,Marcy Castro,0.0,True,0,imputed,D,34.7,0.75,0.5082,4,Maintain
Kentucky Public Protection Cabinet,KY,State,State AE – KY/TN/AR,Carolina Prieto,Marcy Castro,0.0,True,0,imputed,D,34.7,0.75,0.5082,4,Maintain
"Kentucky Tourism, Arts and Heritage Cabinet",KY,State,State AE – KY/TN/AR,Carolina Prieto,Marcy Castro,0.0,True,0,imputed,D,34.7,0.75,0.5082,4,Maintain
North Dakota Department of Career and Technical Education,ND,State,Scott Mark,Carolina Prieto,Brooke Minichino,0.0,False,0,imputed,D,34.7,0.75,0.5082,4,Maintain
North Dakota Department of Agriculture,ND,State,Scott Mark,Carolina Prieto,Brooke Minichino,0.0,True,0,imputed,D,34.7,0.75,0.5082,4,Maintain
North Dakota Department of Emergency Services,ND,State,Scott Mark,Carolina Prieto,Brooke Minichino,0.0,False,0,imputed,D,34.7,0.75,0.5082,4,Maintain
North Dakota Department of Public Instruction,ND,State,Scott Mark,Carolina Prieto,Brooke Minichino,0.0,False,0,imputed,D,34.7,0.75,0.5082,4,Maintain
North Dakota Department of Environmental Quality,ND,State,Scott Mark,Carolina Prieto,Brooke Minichino,0.0,False,0,imputed,D,34.7,0.75,0.5082,4,Maintain
North Dakota Ethics Commission,ND,State,Scott Mark,Carolina Prieto,Brooke Minichino,0.0,True,0,imputed,D,34.7,0.75,0.5082,4,Maintain
North Dakota Housing Finance Agency,ND,State,Scott Mark,Carolina Prieto,Brooke Minichino,0.0,False,0,imputed,D,34.7,0.75,0.5082,4,Maintain
North Dakota Securities Department,ND,State,Scott Mark,Carolina Prieto,Brooke Minichino,0.0,False,0,imputed,D,34.7,0.75,0.5082,4,Maintain
North Dakota Office of Management and Budget,ND,State,Scott Mark,Carolina Prieto,Brooke Minichino,0.0,False,0,imputed,D,34.7,0.75,0.5082,4,Maintain
North Dakota Insurance Department,ND,State,Scott Mark,Carolina Prieto,Brooke Minichino,0.0,False,0,imputed,D,34.7,0.75,0.5082,4,Maintain
North Dakota State Library,ND,State,Scott Mark,Carolina Prieto,Brooke Minichino,0.0,False,0,imputed,D,34.7,0.75,0.5082,4,Maintain
Blue text = hardcoded inputs. Revised XP (column G) is editable from a dropdown. Column O is counted from Account Product Categories in the 9/21 export; column P (yellow) takes a Y where an account is Service Cloud Advanced.,,,,,,0.0,False,0,n/a,,,,,,Unmapped
